X,Y,Z
3774.845,4659.86,-377980.59375
3670.235,4562.38,-377980.59375
3625.005,4559.89,-377980.59375
3598.295,4553.51,-377980.59375
3712.335,5292.3,-377980.59375
3708.725,5318.45,-377980.59375
3672.765,5362.87,-377980.59375
3661.815,5379.25,-377980.59375
453.915,5092.56,-377980.59375
446.875,5172.55,-377980.59375
462.515,5515.52,-377980.59375
447.775,5524.83,-377980.59375
156.315,4739.16,-377980.59375
142.345,4714.62,-377980.59375
153.825,5545.67,-377980.59375
138.735,5562.1,-377980.59375
103.825,4747.72,-377980.59375
90.325,4733.02,-377980.59375
-2398.195,6861.92,-377980.59375
-2415.135,6848.34,-377980.59375
-2639.385,4753.24,-377980.59375
-2654.095,4748.14,-377980.59375
-3987.985,1976.16,-377980.59375
-3976.415,1834.6,-377980.59375
-3944.955,1808.42,-377980.59375
-3969.995,1805.13,-377980.59375
-3918.845,1771.42,-377980.59375
-3899.175,1750.49,-377980.59375
-3888.715,1733.32,-377980.59375
-3880.065,1716.95,-377980.59375
-3861.085,1696.71,-377980.59375
-3856.965,1682.27,-377980.59375
-3835.025,1661.17,-377980.59375
-3843.895,1651.77,-377980.59375
-3889.315,1655.89,-377980.59375
-3901.005,1647.34,-377980.59375
-3878.845,1626.41,-377980.59375
-3870.705,1610.72,-377980.59375
-3876.635,1600.13,-377980.59375
-3911.755,1599.88,-377980.59375
-3921.945,1489.05,-377980.59375
-3937.055,1481.33,-377980.59375
-3999.795,1488.71,-377980.59375
-3887.165,1403.2,-377980.59375
-3928.895,1403.49,-377980.59375
-3784.815,1347.87,-377980.59375
-3802.475,1341.12,-377980.59375
-3770.235,1319.65,-377980.59375
-3837.775,1327.36,-377980.59375
-3842.915,1316.75,-377980.59375
-3846.105,1305.58,-377980.59375
-3857.925,1296.83,-377980.59375
-3863.955,1286.41,-377980.59375
-3832.335,1265.65,-377980.59375
-3862.395,1261.84,-377980.59375
-3882.815,1255.27,-377980.59375
-3864.555,1238.34,-377980.59375
-3735.955,1192.64,-377980.59375
-3683.605,1167.5,-377980.59375
-3758.055,1175.12,-377980.59375
-3925.655,1205.84,-377980.59375
-3791.715,1160.28,-377980.59375
-3789.595,1148.06,-377980.59375
-3740.795,1124.51,-377980.59375
-3725.925,1109.43,-377980.59375
-3700.295,1091.9,-377980.59375
-3723.275,1085.93,-377980.59375
-3782.305,1088.16,-377980.59375
-3777.035,1075.39,-377980.59375
-3741.465,1055.85,-377980.59375
-3690.205,1033.05,-377980.59375
-3718.945,1028.1,-377980.59375
-3740.845,1021.51,-377980.59375
-3694.275,1000.22,-377980.59375
-3659.345,981.68,-377980.59375
-3672.335,973.27,-377980.59375
-3647.095,957.01,-377980.59375
-3620.805,940.7,-377980.59375
-3614.065,928.43,-377980.59375
-3616.125,917.92,-377980.59375
-3602.445,904.4,-377980.59375
-3560.215,885.59,-377980.59375
-3558.215,874.51,-377980.59375
-3514.865,855.9,-377980.59375
-3492.115,841.27,-377980.59375
-3478.165,828.33,-377980.59375
-3518.355,824.89,-377980.59375
-3484.635,808.61,-377980.59375
-3485.355,798.32,-377980.59375
-3450.525,782.18,-377980.59375
-3486.715,777.73,-377980.59375
-3439.945,759.92,-377980.59375
-3520.565,762.22,-377980.59375
-3507.315,749.72,-377980.59375
-3501.935,738.49,-377980.59375
-3337.215,703.93,-377980.59375
-3295.075,687.97,-377980.59375
-3210.285,666.27,-377980.59375
-3287.865,667.45,-377980.59375
-3296.105,658.83,-377980.59375
-3334.065,654.08,-377980.59375
-3347.225,645.93,-377980.59375
-3336.565,634.7,-377980.59375
-3318.915,622.68,-377980.59375
-3331.995,614.46,-377980.59375
-2274.375,480.82,-377980.59375
-3398.845,602.46,-377980.59375
-2214.265,460.75,-377980.59375
-3399.055,582.48,-377980.59375
-3363.315,568.73,-377980.59375
-3267.835,549.08,-377980.59375
-2258.765,439.17,-377980.59375
-3222.935,525.57,-377980.59375
-3189.975,513.03,-377980.59375
-3255.565,509.63,-377980.59375
-2304.065,416.67,-377980.59375
-2360.435,414.7,-377980.59375
-3174.295,474.38,-377980.59375
-3139.145,462.33,-377980.59375
-2557.525,408.97,-377980.59375
-3182.415,447.14,-377980.59375
-3194.055,438.66,-377980.59375
-3077.955,421.53,-377980.59375
-3062.575,411.56,-377980.59375
-3023.205,400.21,-377980.59375
-3087.625,395.16,-377980.59375
-3084.145,385.97,-377980.59375
-2679.185,355.68,-377980.59375
-2606.675,344.28,-377980.59375
-2608.045,336.75,-377980.59375
-2569.425,327.47,-377980.59375
-2315.945,309.62,-377980.59375
-2257.255,300.65,-377980.59375
-2262.495,294.27,-377980.59375
-2300.695,288.92,-377980.59375
-2976.615,302.01,-377980.59375
-2508.015,281.01,-377980.59375
-2548.185,274.66,-377980.59375
-2473.365,265.71,-377980.59375
-2491.495,258.85,-377980.59375
-2456.615,251.09,-377980.59375
-2462.715,244.03,-377980.59375
-2512.785,237.32,-377980.59375
-2581.835,230.43,-377980.59375
-2544.875,222.82,-377980.59375
-2531.885,215.42,-377980.59375
-2551.875,208.01,-377980.59375
-2441.845,201.22,-377980.59375
-2335.795,195.04,-377980.59375
-2286.735,188.81,-377980.59375
-2276.655,182.32,-377980.59375
-2246.545,176.22,-377980.59375
-2298.415,168.65,-377980.59375
-2292.275,162.11,-377980.59375
-2466.055,150.93,-377980.59375
-2365.895,146.65,-377980.59375
-2467.635,136.54,-377980.59375
-2452.405,129.89,-377980.59375
-2539.085,119.49,-377980.59375
-2661.695,107.13,-377980.59375
-2702.335,97.61,-377980.59375
-2719.965,88.93,-377980.59375
-1858.625,123.5,-377980.59375
-1883.325,116.8,-377980.59375
-2544.025,74.87,-377980.59375
-2545.605,67.36,-377980.59375
-2486.265,63.56,-377980.59375
-2533.725,53.27,-377980.59375
-2606.075,41.04,-377980.59375
-2582.615,35.08,-377980.59375
-2585.075,27.36,-377980.59375
-2602.465,18.49,-377980.59375
-2000.735,58.15,-377980.59375
-2502.605,11.41,-377980.59375
3759.291,4641.57,-378261.71875
3725.101,4627.3,-378261.71875
3611.541,4543.77,-378261.71875
3618.091,4577.36,-378261.71875
3999.651,5363.61,-378261.71875
3731.821,5318.93,-378261.71875
3708.131,5317.64,-378261.71875
3692.391,5358.65,-378261.71875
3679.151,5371.82,-378261.71875
3658.921,5375.18,-378261.71875
469.161,5102.16,-378261.71875
457.561,5131.39,-378261.71875
474.221,5473.31,-378261.71875
463.741,5529.47,-378261.71875
450.051,5551.73,-378261.71875
170.511,4765.66,-378261.71875
156.311,4739.16,-378261.71875
145.751,4819.57,-378261.71875
153.821,5545.67,-378261.71875
117.081,4750.39,-378261.71875
103.961,4753.72,-378261.71875
-2378.179,6866.97,-378261.71875
-2399.549,6865.68,-378261.71875
-2412.059,6839.89,-378261.71875
-2622.179,4753.96,-378261.71875
-2637.879,4750.65,-378261.71875
-2666.209,4768.86,-378261.71875
-3988.079,1948.56,-378261.71875
-3990.189,1853.75,-378261.71875
-3969.009,1831.58,-378261.71875
-3950.519,1810.66,-378261.71875
-3953.239,1785.09,-378261.71875
-3952.199,1771.39,-378261.71875
-3941.809,1754.07,-378261.71875
-3904.319,1726.35,-378261.71875
-3933.899,1724.68,-378261.71875
